NODE,Attributed (Scaphandre),Node Power (Kepler),Workload Pod (Kepler)
Node 1,15.1,15.2,8.28
Node 2,15.1,15,7.21
Node 3,1.63,1.66,0
Node 4,1.51,1.61,0
