NODE,Attributed (Scaphandre),Node Power (Kepler),Workload Pod (Kepler)
Node 1,28.8,28.6,21.4
Node 2,28.2,28.6,19.5
Node 3,28.3,28.5,18.8
Node 4,1.01,0.969,0
