NODE,Attributed (Scaphandre),Node Power (Kepler),Workload Pod (Kepler)
Node 1,27.4,27,20.7
Node 2,27.3,26.8,19.5
Node 3,26.9,26.7,19.4
Node 4,26.8,26.1,19
Noise 1,13,0,0
Noise 2,12.9,0,0
Noise 3,12.9,0,0
Noise 4,12.9,0,0
