WORKLOAD,IPMI Power,RAPL Power,Attributed (Scaphandre),Node Power (Kepler),Workload Pods (Kepler)
3,0.48,0,0,0
4.55,1.2,1.13,1.25,0.8
4.6,1.3,0.63,3.45,2.6
2.4,0.5,0.37,5.4,3.99
2.89,0.42,0.43,7.16,5.8
3.45,1.15,0.86,14.9,11.5
2.04,1.27,1.24,25.3,25.1
6.15,1.49,1.45,30.7,30.6
