NODE,Attributed (Scaphandre),Node Power (Kepler),Workload Pod (Kepler)
Node 1,50.5,50.8,41.6
Node 2,50.2,49.2,41.4
Node 3,49.6,46.6,37.8
Node 4,49.5,48.0,37.5
