NODE,Attributed (Scaphandre),Node Power (Kepler),Workload Pod (Kepler)
Node 1,28,27.5,21.4
Node 2,27.9,27.4,19
Node 3,27.9,26.9,18.8
Node 4,27.4,26.6,16.9
Noise 1,6.61,0,0
