NODE,Attributed (Scaphandre),Node Power (Kepler),Workload Pod (Kepler)
Node 1,28.3,28.4,21.5
Node 2,28.2,28.3,19.7
Node 3,27.8,27.9,18
Node 4,27.7,27.5,17.7
