NODE,Attributed (Scaphandre),Node Power (Kepler),Workload Pod (Kepler)
Node 1,15.3,15.6,9.18
Node 2,15.3,15.3,9.07
Node 3,14.8,14.9,8.17
Node 4,14.7,14.6,6.64
