NODE,Attributed (Scaphandre),Node Power (Kepler),Workload Pod (Kepler)
Node 1,9.15,8.97,3.81
Node 2,8.65,8.67,3.62
Node 3,1.75,1.76,0
Node 4,1.23,1.20,0
