WORKLOAD,Node Power (Kepler Estimate),Workload Pod (Kepler Estimate), Node Power stddev, Workload Pods stddev,Node Power (Passthrough Reference),Workload Pod (Passthrough Reference),node reference stddev, workload stddev,Attributable (RAPL),rapl stddev
2n2c,30,9,6,18,20.8,7.43,0.93,1.23,24.9,1.7
2n4c,35.6,16.4,7.45,18.5,33.4,15.7,0.6,2.71,30.6,0.853
4n4c,84.5,63,8,17,60.4,33.1,1.01,2.91,63.2,1.36
3n8c,132,150,14,17,86.8,59.8,0.4,5.38,89.6,0.61
4n8c,154,167,9,12,112,77,0.84,4.11,115,1.31
4n16c,274,271,15,11,197,158,1.31,12,202,1.11
